    == Status ==
Current time: 2022-11-19 21:24:59 (running for 03:24:08.25)
Memory usage on this node: 9.3/15.4 GiB 
Using AsyncHyperBand: num_stopped=323
Bracket: Iter 32.000: -0.9614356261372566 | Iter 16.000: -1.0854247627735139 | Iter 8.000: -1.2630366757392884 | Iter 4.000: -1.4273403955459594 | Iter 2.000: -1.5695729044914244 | Iter 1.000: -1.739674667930603
Resources requested: 0/20 CPUs, 0/1 GPUs, 0.0/7.33 GiB heap, 0.0/3.66 GiB objects (0.0/1.0 accelerator_type:G)
Result logdir: /home/braian/ray_results/train_cifar_2022-11-19_18-00-51
Number of trials: 324/324 (1 ERROR, 323 TERMINATED)
+-------------------------+------------+-----------------------+--------------+-----------------+----------------------+------------------------+----------------------+------------------------+-----------+-----------+----------+------------+----------------------+
| Trial name              | status     | loc                   |   batch_size |   learning_rate |   cant_filtros_conv1 |   kernel_size_maxpool1 |   cant_filtros_conv2 |   kernel_size_maxpool2 |   full_l1 |   full_l2 |     loss |   accuracy |   training_iteration |
| train_cifar_40296_00028 | TERMINATED | 192.168.0.187:234807  |           16 |          0.0001 |                   12 |                      2 |                   16 |                      2 |       120 |       104 | 1.61179  |     0.4099 |                    2 |
| train_cifar_40296_00029 | TERMINATED | 192.168.0.187:237808  |           16 |          0.0001 |                   18 |                      2 |                   16 |                      2 |       120 |       104 | 1.31534  |     0.5299 |                    8 |
| train_cifar_40296_00030 | TERMINATED | 192.168.0.187:246312  |           16 |          0.0001 |                    6 |                      2 |                   22 |                      2 |       120 |       104 | 1.79018  |     0.3441 |                    1 |
| train_cifar_40296_00031 | TERMINATED | 192.168.0.187:249053  |           16 |          0.0001 |                   12 |                      2 |                   22 |                      2 |       120 |       104 | 1.32281  |     0.5187 |                    8 |
| train_cifar_40296_00032 | TERMINATED | 192.168.0.187:252800  |           16 |          0.0001 |                   18 |                      2 |                   22 |                      2 |       120 |       104 | 1.60814  |     0.4057 |                    2 |
| train_cifar_40296_00033 | TERMINATED | 192.168.0.187:255144  |           16 |          0.0001 |                    6 |                      2 |                   28 |                      2 |       120 |       104 | 1.46556  |     0.4651 |                    4 |
| train_cifar_40296_00034 | TERMINATED | 192.168.0.187:255764  |           16 |          0.0001 |                   12 |                      2 |                   28 |                      2 |       120 |       104 | 1.59028  |     0.4332 |                    2 |
| train_cifar_40296_00035 | TERMINATED | 192.168.0.187:258271  |           16 |          0.0001 |                   18 |                      2 |                   28 |                      2 |       120 |       104 | 1.65343  |     0.4035 |                    2 |
| train_cifar_40296_00036 | TERMINATED | 192.168.0.187:258625  |           16 |          0.0001 |                    6 |                      2 |                   16 |                      2 |       140 |       104 | 1.86978  |     0.3163 |                    1 |
| train_cifar_40296_00037 | TERMINATED | 192.168.0.187:260197  |           16 |          0.0001 |                   12 |                      2 |                   16 |                      2 |       140 |       104 | 1.62443  |     0.4004 |                    2 |
