+-------------------------+------------+----------------------+--------------+-----------------+----------------------+------------------------+----------------------+------------------------+-----------+-----------+---------+------------+----------------------+
| Trial name              | status     | loc                  |   batch_size |   learning_rate |   cant_filtros_conv1 |   kernel_size_maxpool1 |   cant_filtros_conv2 |   kernel_size_maxpool2 |   full_l1 |   full_l2 |    loss |   accuracy |   training_iteration |
| train_cifar_264e7_00001 | TERMINATED | 192.168.0.187:229968 |           16 |     0.000245479 |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 1.50053 |     0.6745 |                   50 |
| train_cifar_264e7_00002 | TERMINATED | 192.168.0.187:230980 |           32 |     0.0541682   |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 2.30823 |     0.1022 |                    1 |
| train_cifar_264e7_00003 | TERMINATED | 192.168.0.187:231773 |            8 |     0.000918747 |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 1.06855 |     0.6356 |                    8 |
| train_cifar_264e7_00004 | TERMINATED | 192.168.0.187:238685 |           16 |     0.0996991   |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 2.33419 |     0.0967 |                    1 |
| train_cifar_264e7_00005 | TERMINATED | 192.168.0.187:239476 |           32 |     0.000296346 |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 1.34816 |     0.5198 |                    2 |
| train_cifar_264e7_00006 | TERMINATED | 192.168.0.187:241009 |            8 |     0.00436089  |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 2.30429 |     0.099  |                    1 |
| train_cifar_264e7_00007 | TERMINATED | 192.168.0.187:241994 |           16 |     0.00991264  |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 2.30363 |     0.0953 |                    1 |
| train_cifar_264e7_00008 | TERMINATED | 192.168.0.187:242970 |           32 |     0.00499351  |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 2.3031  |     0.0983 |                    1 |
| train_cifar_264e7_00009 | TERMINATED | 192.168.0.187:243576 |            8 |     0.00188365  |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 1.41335 |     0.4958 |                    2 |
| train_cifar_264e7_00010 | TERMINATED | 192.168.0.187:245317 |           16 |     0.0011345   |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 1.3688  |     0.5037 |                    2 |
| train_cifar_264e7_00011 | TERMINATED | 192.168.0.187:246853 |           32 |     0.000117846 |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 1.55969 |     0.4353 |                    2 |
| train_cifar_264e7_00012 | TERMINATED | 192.168.0.187:248378 |            8 |     0.0103388   |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 2.30336 |     0.0971 |                    1 |
| train_cifar_264e7_00013 | TERMINATED | 192.168.0.187:249158 |           16 |     0.00403235  |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 1.56852 |     0.4289 |                    2 |
| train_cifar_264e7_00014 | TERMINATED | 192.168.0.187:250678 |           32 |     0.00448426  |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 2.30356 |     0.0944 |                    1 |
| train_cifar_264e7_00015 | TERMINATED | 192.168.0.187:251453 |            8 |     0.000186651 |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 1.37193 |     0.4993 |                    2 |
| train_cifar_264e7_00016 | TERMINATED | 192.168.0.187:252993 |           16 |     0.00110923  |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 1.23377 |     0.5598 |                    4 |
| train_cifar_264e7_00017 | TERMINATED | 192.168.0.187:256038 |           32 |     0.000171157 |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 1.4735  |     0.4618 |                    2 |
| train_cifar_264e7_00018 | TERMINATED | 192.168.0.187:257189 |            8 |     0.0984577   |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 2.32453 |     0.0991 |                    1 |
| train_cifar_264e7_00019 | TERMINATED | 192.168.0.187:257968 |           16 |     0.000321054 |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 1.24029 |     0.571  |                    4 |
| train_cifar_264e7_00020 | TERMINATED | 192.168.0.187:261011 |           32 |     0.0109751   |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 2.30383 |     0.1033 |                    1 |
| train_cifar_264e7_00021 | TERMINATED | 192.168.0.187:261786 |            8 |     0.00420803  |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 1.85844 |     0.2956 |                    1 |
| train_cifar_264e7_00022 | TERMINATED | 192.168.0.187:262564 |           16 |     0.00610236  |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 2.30356 |     0.1007 |                    1 |
| train_cifar_264e7_00023 | TERMINATED | 192.168.0.187:263348 |           32 |     0.0317621   |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 2.30863 |     0.1007 |                    1 |
| train_cifar_264e7_00024 | TERMINATED | 192.168.0.187:264125 |            8 |     0.058483    |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 2.31249 |     0.1038 |                    1 |
| train_cifar_264e7_00025 | TERMINATED | 192.168.0.187:264906 |           16 |     0.00101191  |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 1.08035 |     0.6168 |                    8 |
| train_cifar_264e7_00026 | TERMINATED | 192.168.0.187:267979 |           32 |     0.000158048 |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 1.5128  |     0.4462 |                    2 |
| train_cifar_264e7_00027 | TERMINATED | 192.168.0.187:269517 |            8 |     0.00016239  |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 1.40491 |     0.4911 |                    2 |
| train_cifar_264e7_00028 | TERMINATED | 192.168.0.187:270705 |           16 |     0.000235186 |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 1.18798 |     0.572  |                    4 |
| train_cifar_264e7_00029 | TERMINATED | 192.168.0.187:271108 |           32 |     0.00120834  |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 1.01633 |     0.6606 |                   16 |
